CR|Sucursal|División|Zona
1153|SAN LUIS POTOSI MODULO ADUANAL|BAJIO|SAN LUIS POTOSI URBANA
1154|PUEBLA MODULO ADUANAL|SUR|PUEBLA PERIFERIA
1157|MONTERREY CHAPULTEPEC|NORESTE|GUADALUPE
1161|GUANAJUATO MODULO ADUANAL|BAJIO|LEON SUR
1164|CD. VALLES GLORIETA|BAJIO|SAN LUIS POTOSI FORANEA
1166|APATZINGAN CENTRO|REGIONAL OCCIDENTE|URUAPAN
1173|PUERTA BAJIO LEON|BAJIO|LEON NORTE
1219|MORELIA SANTIAGUITO|REGIONAL OCCIDENTE|MORELIA PONIENTE
1234|URUAPAN SARABIA|REGIONAL OCCIDENTE|URUAPAN
1238|SAHUAYO|REGIONAL OCCIDENTE|LA PIEDAD
1245|SANTA ANA PACUECO|REGIONAL OCCIDENTE|LA PIEDAD
1264|AMATITAN|REGIONAL OCCIDENTE|AMECA
1271|PLAZA CONSTITUYENTES|BAJIO|QUERETARO PONIENTE
1276|D.F. ERMITA MIRAVALLE|METROPOLITANA SUR|BENITO JUAREZ
1278|D.F. XOCHIMILCO ARCOS|METROPOLITANA SUR|COAPA
1289|PLAZA TENAYUCA|METROPOLITANA NORTE|VALLEJO
1290|D.F. PLAZA DEL SALADO|METROPOLITANA SUR|NEZA
1294|CIUDAD AZTECA|METROPOLITANA NORTE|ECATEPEC
1297|LOS REYES FLORESTA|METROPOLITANA SUR|NEZA
1366|CUERNAVACA AVERANDA|SUR|MORELOS SUR
1376|ARCOS DEL MILENIO|OCCIDENTE|GUADALAJARA VALLARTA
1378|INSURGENTES VERMONT|METROPOLITANA SUR|DEL VALLE
1383|PLAZA SOLESTA|SUR|PUEBLA SUR
1385|URUAPAN AEROPUERTO|REGIONAL OCCIDENTE|URUAPAN
1391|EXPLANADA PUEBLA|SUR|PUEBLA NORTE
1392|PATIO TLALPAN|METROPOLITANA SUR|COAPA
1394|AMBAR FASHION|SURESTE|TUXTLA
1397|PASEO HIPODROMO|METROPOLITANA NORTE|INTERLOMAS
1398|PARQUE LAS ANTENAS|METROPOLITANA SUR|IZTAPALAPA
1418|GUADIANA DURANGO|NORESTE|DURANGO
1419|EXPLANADA PACHUCA|BAJIO|PACHUCA NORTE
1422|SENDERO SALTILLO|NORESTE|SALTILLO
1430|CITY CENTER VILLAHERMOSA|SURESTE|VILLAHERMOSA NORTE
1431|MERCADO PLAZA AÉREA|BAJIO|SAN LUIS POTOSI URBANA
1439|GALERIAS ATIZAPAN|METROPOLITANA NORTE|TLALNEPANTLA
1440|SAN TELMO TOWN CENTER|BAJIO|AGUASCALIENTES
1441|SENDERO LA FE APODACA|NORESTE|MONTERREY SAN NICOLAS
1464|SENDERO CHALCO|METROPOLITANA SUR|ORIENTE
1466|ISLA MÉRIDA|SURESTE|MERIDA ORIENTE
1476|PASEO MONCLOVA|NORESTE|COAHUILA NORTE
1520|PLAZA 450|NORESTE|DURANGO
1659|PROLEC GE|NORESTE|MONTERREY SAN NICOLAS
1698|MARIO PANI|METROPOLITANA SUR|SANTA FE
1871|PLAZA LOS SOLES|REGIONAL OCCIDENTE|MORELIA ORIENTE
3019|BELENES|OCCIDENTE|GUADALAJARA ZAPOPAN
3047|PASEO INTERLOMAS|METROPOLITANA NORTE|INTERLOMAS
3048|PATIO SANTA FE|METROPOLITANA SUR|SANTA FE
3217|PATZCUARO LIBRAMIENTO|REGIONAL OCCIDENTE|MORELIA PONIENTE
3434|D.F. MIXCOAC|METROPOLITANA SUR|INSURGENTES
3437|D.F. ROMA|METROPOLITANA SUR|CONDESA
3439|LUCERNA|METROPOLITANA NORTE|REFORMA
3449|D.F. COAHUILA|METROPOLITANA SUR|CONDESA
3464|RASTRO FERRERIA|METROPOLITANA NORTE|AZCAPOTZALCO
3473|D.F. CUAUHTEMOC|METROPOLITANA SUR|CONDESA
3504|SAN CRISTOBAL VIA MORELOS|METROPOLITANA NORTE|ECATEPEC
3509|CERRO GORDO|METROPOLITANA NORTE|ECATEPEC
3525|LA ROMANA|METROPOLITANA NORTE|SATELITE
3529|CIEN METROS|METROPOLITANA NORTE|VALLEJO
3533|D.F. SAN JOSE INSURGENTES|METROPOLITANA SUR|INSURGENTES
3534|D.F. PICACHO|METROPOLITANA SUR|SAN ANGEL
3541|D.F. AXOMIATLA|METROPOLITANA SUR|SANTA FE
3551|D.F. TEPEPAN|METROPOLITANA SUR|COAPA
3555|D.F. DIVISION VERTIZ|METROPOLITANA SUR|COYOACAN
3557|ANZURES|METROPOLITANA SUR|LOMAS
3568|D.F. LA VIGA TALLER|METROPOLITANA SUR|VIADUCTO
