ATM|FALLA|CAUSA|FECHA_INICIO|HORA_INICIO|FRACCION_HRS_F|HRS_FUERA|FAULTID|VENTANA
C334|Fallas Otras causas|Fuera de Sesion RA1|2020-04-08|13:32:00|0.25|0|34|Fuera de Sesion
C535|Contingencia|Sin atencion por contingencia|2020-04-06|15:50:00|0|53|2364|Contingencia
C619|Contingencia|Sin atencion por contingencia|2020-04-08|19:53:02|0.95|0|2364|Contingencia
C721|Contingencia|Sin atencion por contingencia|2020-03-19|08:01:00|0.816|491|2364|Contingencia
C738|Contingencia|Sin atencion por contingencia|2020-04-08|12:42:01|0.133|8|2364|Contingencia
C798|Contingencia|Sin atencion por contingencia|2020-04-08|14:34:47|0.266|6|2364|Contingencia
C806|Fallas Otras causas|Fuera de Sesion RA1|2020-04-08|13:46:00|0.016|0|34|Fuera de Sesion
D001|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|14:41:34|0.15|6|21|Mantenimiento Tecnico
D006|Contingencia|Sin atencion por contingencia|2020-04-08|18:25:05|0.416|2|2364|Contingencia
D028|Contingencia|Sin atencion por contingencia|2020-04-03|23:36:01|0.233|116|2364|Contingencia
D040|Contingencia|Sin atencion por contingencia|2020-04-08|18:13:08|0.616|2|2364|Contingencia
D165|Fallas Otras causas|MT por ocurrencia de error en aceptador|2020-04-08|20:15:00|0.583|0|216|Mantenimiento Tecnico
D222|Contingencia|Sin atencion por contingencia|2020-04-08|18:44:59|0.1|2|2364|Contingencia
D319|Contingencia|Sin atencion por contingencia|2020-04-08|18:10:52|0.666|2|2364|Contingencia
D353|Fallas Otras causas|Sin efectivo|2020-04-08|20:00:04|0.833|0|1063106300009|Sin Efectivo
D354|Contingencia|Sin atencion por contingencia|2020-04-08|19:49:49|0.016|1|2364|Contingencia
D371|Contingencia|Sin atencion por contingencia|2020-04-08|19:10:37|0.666|1|2364|Contingencia
D384|Contingencia|Sin atencion por contingencia|2020-03-19|08:38:25|0.199|491|2364|Contingencia
D385|Contingencia|Sin atencion por contingencia|2020-03-19|08:38:39|0.199|491|2364|Contingencia
D419|Fallas Otras causas|Fuera de Sesion RA1|2020-04-08|13:46:00|0.016|0|34|Fuera de Sesion
D427|Fallas por Aplicativo|Reset ATM|2020-04-08|19:38:31|0.199|1|95|Recuperacion Manual
D452|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|10:25:25|0.416|10|21|Mantenimiento Tecnico
D461|Contingencia|Sin atencion por contingencia|2020-04-08|12:10:05|0.666|8|2364|Contingencia
D537|Contingencia|Sin atencion por contingencia|2020-04-08|19:33:47|0.283|1|2364|Contingencia
D538|Fallas Otras causas|Fuera de Sesion RA1|2020-04-08|13:46:00|0.016|0|34|Fuera de Sesion
D542|Fallas por Aplicativo|Reset ATM|2020-04-08|19:04:36|0.766|1|95|Recuperacion Manual
D632|Fallas Otras causas|Falla de imp de clientes G004/TFS|2020-04-08|18:38:33|0.2|2|21|Mantenimiento Tecnico
D634|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|18:31:07|0.316|2|216|Mantenimiento Tecnico
D658|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|09:22:18|0.466|11|216|Mantenimiento Tecnico
D707|Contingencia|Sin atencion por contingencia|2020-04-08|18:34:39|0.266|2|2364|Contingencia
D741|Contingencia|Sin atencion por contingencia|2020-04-08|18:37:58|0.216|2|2364|Contingencia
D780|Contingencia|Sin atencion por contingencia|2020-04-06|15:50:00|0|53|2364|Contingencia
D794|Fallas Otras causas|Falla en el cash slot|2020-04-08|20:19:00|0.516|0|8|Recuperacion Manual
D800|Contingencia|Sin atencion por contingencia|2020-04-02|03:04:02|0.766|160|2364|Contingencia
D854|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|15:17:08|0.549|5|216|Mantenimiento Tecnico
D894|Contingencia|Sin atencion por contingencia|2020-04-08|14:21:09|0.483|6|2364|Contingencia
D931|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|16:33:47|0.283|4|216|Mantenimiento Tecnico
D958|Contingencia|Sin atencion por contingencia|2020-04-08|18:39:30|0.183|2|2364|Contingencia
D987|Fallas Dispensador|E114 Presentador con falla / TFS|2020-04-08|16:33:44|0.283|4|202|Mantenimiento Tecnico
E123|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|16:12:51|0.633|4|216|Mantenimiento Tecnico
E147|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|16:13:49|0.616|4|216|Mantenimiento Tecnico
E176|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|17:25:13|0.416|3|216|Mantenimiento Tecnico
E227|Fallas Otras causas|E134 Shuter atorado / TFS|2020-04-08|11:46:05|0.066|9|202|Mantenimiento Tecnico
E327|Contingencia|Sin atencion por contingencia|2020-04-08|19:50:36|0|1|2364|Contingencia
E349|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|19:37:39|0.216|1|216|Mantenimiento Tecnico
E527|Contingencia|Sin atencion por contingencia|2020-04-07|14:16:01|0.566|30|2364|Contingencia
E557|Fallas Otras causas|Falla en el cash slot|2020-04-08|20:09:00|0.683|0|8|Recuperacion Manual
E629|Fallas Dispensador|Posible billete at Dis E204/TFS|2020-04-08|09:45:11|0.083|11|202|Mantenimiento Tecnico
E634|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|15:28:32|0.366|5|216|Mantenimiento Tecnico
E684|Contingencia|Sin atencion por contingencia|2020-04-08|19:55:47|0.916|0|2364|Contingencia
E687|Contingencia|Sin atencion por contingencia|2020-04-08|18:39:01|0.183|2|2364|Contingencia
E814|Contingencia|Sin atencion por contingencia|2020-04-08|17:00:00|0.833|3|2364|Contingencia
E835|Fallas Otras causas|Falla en el cash slot|2020-04-08|18:34:00|0.266|2|8|Recuperacion Manual
