SK|ATM|Marca|Modelo|Tipo_dispositivo|Tipo_monitor|Estatus_dispositivo|Sistema_Operativo|Denominacion_caseteros|Biometrico|Geolocaliza
98376062|9837|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|32.591033  -115.438881
98386062|9838|DUTY|STUPIFY|EFECTIBANCO|VALIDANDO|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|32.664173  -115.41591
98396062|9839|HARD|DESCENDIO22|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|32.508204  -116.992266
98406062|9840|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|32.62447  -115.422515
98410280|9841|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.453293  -99.197588
98426062|9842|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|BAJA DEF|UNIX|||25.688353  -100.332837
98436062|9843|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||26.069273  -98.294802
98446062|9844|HARD|DESCENDIO82|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.9728159  -99.5301742
98456062|9845|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|BAJA DEF|UNIX|||28.647151  -106.063892
98466062|9846|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|19.431862  -99.195401
98476062|9847|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|19.174883  -99.468823
98486062|9848|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|30.375748  -109.592924
98496062|9849|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 100 200 500|NO INSTALADO|29.078338  -110.934407
98506062|9850|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.092039  -98.769236
98516062|9851|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.122525  -98.736823
98526062|9852|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.122525  -98.736823
